p;L;L(p);R(p);T(p)
10;100
10;100;1.13522;0.771911;4.86047
10;100;1.12527;0.801132;4.44944
10;100;1.07551;0.787021;6.05682
10;100;1.02578;0.712514;4.75309
10;100;1.15513;0.84343;5.09677
10;100;1.15513;0.83343;6.18478
10;100;1.03573;0.76345;5.47674
10;100;1.07551;0.727021;5.65854
10;100;1.10536;0.709532;5.25000
10;100;1.14518;0.722677;4.67901
10;100;1.11532;0.760339;5.09412
10;100;1.09541;0.75871;6.72941
10;100;1.07551;0.787021;4.88636
10;100;1.185;0.865612;6.44211
10;100;1.10536;0.749532;8.03571
10;100;1.08546;0.757873;5.88235
10;100;1.07551;0.777021;4.74713
10;100;1.15513;0.75343;5.25000
10;100;1.07551;0.777021;5.42529
10;100;1.06557;0.716153;5.39506
10;100;1.19496;0.826315;4.35165
10;100;1.12527;0.831132;6.83696
10;100;1.09541;0.80871;4.46667
10;100;1.07551;0.717021;4.72839
10;100;1.05562;0.695269;4.65823
10;100;1.09541;0.69871;5.12658
10;100;1.12527;0.831132;4.47826
10;100;1.07551;0.667021;5.63158
10;100;1.15513;0.78343;4.43678
10;100;1.13522;0.751911;5.54762
10;100;1.06557;0.736153;7.65060
10;100;1.20492;0.727007;6.28395
10;100;1.08546;0.787873;5.15909
10;100;1.13522;0.761911;4.65882
10;100;1.07551;0.767021;4.63953
10;100;1.04567;0.704368;5.08750
10;100;1.06557;0.696153;7.29114
10;100;1.16509;0.844169;5.02151
10;100;1.06557;0.766153;5.40698
10;100;1.12527;0.731132;4.54878
10;100;1.07551;0.687021;4.62821
10;100;1.08546;0.687873;5.46154
10;100;1.04567;0.674368;4.42857
10;100;1.21488;0.747687;4.24096
10;100;1.10536;0.779532;5.31034
10;100;1.05562;0.805269;4.34444
10;100;1.10536;0.859532;6.23158
10;100;1.09541;0.76871;4.54651
10;100;1.11532;0.710339;4.40000
10;100;1.04567;0.714368;4.37037
10;100;1.07551;0.717021;8.54321
10;100;1.04567;0.674368;6.71429
10;100;1.11532;0.720339;5.33333
10;100;1.03573;0.70345;6.28750
10;100;1.05562;0.735269;4.80723
10;100;1.14518;0.722677;4.96296
10;100;1.10536;0.699532;4.34177
10;100;1.07551;0.667021;4.27632
10;100;1.07551;0.717021;6.14815
10;100;1.10536;0.779532;5.59770
10;100;1.05562;0.675269;4.40260
10;100;1.06557;0.756153;5.18824
10;100;1.15513;0.80343;6.01124
10;100;1.06557;0.776153;4.03448
10;100;1.15513;0.67343;5.17105
10;100;1.12527;0.771132;4.22093
10;100;1.06557;0.726153;4.97561
10;100;1.09541;0.71871;5.30864
10;100;1.20492;0.787007;5.02299
10;100;1.07551;0.757021;7.83529
10;100;1.06557;0.726153;4.84146
10;100;1.10536;0.759532;5.42353
10;100;1.08546;0.667873;5.30263
10;100;1.05562;0.635269;4.97260
10;100;1.17504;0.734897;4.62195
10;100;1.09541;0.76871;5.02326
10;100;1.05562;0.795269;4.26966
10;100;1.12527;0.831132;6.41304
10;100;1.04567;0.764368;4.63953
10;100;1.13522;0.701911;5.70886
10;100;1.06557;0.806153;5.36667
10;100;1.17504;0.704897;8.37975
10;100;1.11532;0.760339;4.55294
10;100;1.12527;0.771132;4.15116
10;100;1.05562;0.725269;5.37805
10;100;1.10536;0.659532;5.80000
10;100;1.16509;0.744169;6.10843
10;100;1.11532;0.830339;4.52174
10;100;1.07551;0.727021;5.23171
10;100;1.15513;0.70343;6.65823
10;100;1.185;0.855612;4.65957
10;100;1.04567;0.824368;4.73913
10;100;1.16509;0.734169;5.30488
10;100;1.11532;0.710339;5.05000
