p;L;L(p);R(p);T(p)
15;200
15;200;1.15883;0.655559;3.43949
15;200;1.20369;0.635383;3.53289
15;200;1.18375;0.683284;3.66049
15;200;1.17877;0.612748;4.27027
15;200;1.22861;0.657911;3.71154
15;200;1.15883;0.595559;3.48966
15;200;1.17877;0.662748;4.28481
15;200;1.1688;0.611663;3.71622
15;200;1.17877;0.647748;3.40000
15;200;1.11399;0.630348;3.12418
15;200;1.25354;0.605339;3.68276
15;200;1.11399;0.625348;3.84868
15;200;1.1688;0.611663;3.89189
15;200;1.21366;0.631407;3.08609
15;200;1.109;0.639744;4.52903
15;200;1.20867;0.670897;3.61006
15;200;1.18375;0.613284;3.27027
15;200;1.10402;0.584133;3.75694
15;200;1.18873;0.658815;3.09554
15;200;1.13392;0.602715;3.88435
15;200;1.18375;0.588284;4.33566
15;200;1.23858;0.718894;4.00595
15;200;1.14388;0.623868;3.84106
15;200;1.15883;0.680559;3.33333
15;200;1.23858;0.683894;4.00000
15;200;1.17877;0.672748;3.70000
15;200;1.1688;0.621663;3.69333
15;200;1.18375;0.703284;3.95181
15;200;1.15883;0.585559;3.71329
15;200;1.18873;0.638815;3.67974
15;200;1.17877;0.707748;4.04192
15;200;1.11399;0.615348;3.38667
15;200;1.15883;0.635559;3.52288
15;200;1.14388;0.648867;3.80769
15;200;1.15883;0.670559;3.23750
15;200;1.15385;0.615;4.17450
15;200;1.15883;0.585559;4.25175
15;200;1.15883;0.635559;3.32026
15;200;1.1389;0.608294;3.76351
15;200;1.17877;0.672748;3.61250
15;200;1.10402;0.629133;3.74510
15;200;1.15883;0.670559;3.66875
15;200;1.17378;0.662208;3.50000
15;200;1.12893;0.617131;3.70667
15;200;1.12395;0.651542;3.51592
15;200;1.14388;0.648867;3.83974
15;200;1.1389;0.568294;3.45714
15;200;1.109;0.589744;3.94483
15;200;1.17877;0.567748;3.92086
15;200;1.15385;0.54;3.68657
15;200;1.15883;0.615559;3.38926
15;200;1.1688;0.651663;3.37821
15;200;1.16381;0.641113;4.18831
15;200;1.19372;0.679342;4.32298
15;200;1.1987;0.659865;3.90446
15;200;1.09904;0.568517;3.81560
15;200;1.19372;0.659342;3.61146
15;200;1.17378;0.677208;3.26087
15;200;1.19372;0.674342;4.07500
15;200;1.17877;0.617748;3.51007
15;200;1.21366;0.716407;3.67857
15;200;1.15385;0.625;3.90066
15;200;1.12893;0.567131;3.75714
15;200;1.1389;0.668294;3.64375
15;200;1.14886;0.539436;3.93284
15;200;1.17378;0.627208;3.33775
15;200;1.1987;0.744865;4.15517
15;200;1.14388;0.638867;3.32468
15;200;1.2336;0.703404;3.41818
15;200;1.20369;0.635383;3.61184
15;200;1.1389;0.588294;3.83333
15;200;1.22861;0.617911;3.78378
15;200;1.1688;0.611663;3.92568
15;200;1.18873;0.653815;4.05128
15;200;1.20369;0.730383;3.29240
15;200;1.15385;0.62;3.52000
15;200;1.22861;0.657911;4.41026
15;200;1.13392;0.602715;3.51020
15;200;1.11399;0.675348;3.06790
15;200;1.13392;0.632715;3.49020
15;200;1.14388;0.538868;4.03731
15;200;1.22861;0.682911;5.00621
15;200;1.18873;0.673815;4.34375
15;200;1.17877;0.597748;3.86897
15;200;1.22363;0.652414;3.89677
15;200;1.2336;0.663404;3.87261
15;200;1.15385;0.575;3.88652
15;200;1.0841;0.586636;5.77931
15;200;1.12395;0.616542;3.45333
15;200;1.17877;0.752748;3.23295
15;200;1.11399;0.660348;3.45912
15;200;1.15385;0.585;3.38462
15;200;1.1987;0.759865;3.24294
15;200;1.19372;0.684342;3.23457
15;200;1.18375;0.598284;4.02759
15;200;1.1688;0.596663;3.62759
15;200;1.17378;0.642208;3.98052
15;200;1.12893;0.587131;3.80556
15;200;1.11897;0.590948;3.82759
15;200;1.1688;0.731663;3.77326
15;200;1.21366;0.716407;3.36905
15;200;1.13392;0.627715;3.38158
15;200;1.18873;0.553815;3.77206
15;200;1.17877;0.687748;3.52761
15;200;1.15385;0.55;4.23529
15;200;1.1987;0.724865;3.47647
15;200;1.16381;0.671113;3.30000
15;200;1.1688;0.656663;4.16561
15;200;1.15385;0.595;3.91034
15;200;1.23858;0.643894;4.18954
15;200;1.11897;0.635948;3.40909
15;200;1.17378;0.687208;3.63804
15;200;1.15385;0.675;3.42857
15;200;1.17378;0.622208;3.40000
15;200;1.19372;0.664342;3.52532
15;200;1.15883;0.625559;3.98013
15;200;1.17877;0.642748;3.98701
15;200;1.17877;0.677748;3.72050
15;200;1.17877;0.612748;3.64189
15;200;1.14886;0.559436;3.89130
15;200;1.18873;0.628815;3.94702
15;200;1.11399;0.585348;3.14583
15;200;1.15883;0.610559;3.30405
15;200;1.13392;0.647715;3.55769
15;200;1.16381;0.696113;4.11515
15;200;1.24855;0.699861;3.96951
15;200;1.1389;0.608294;3.92568
15;200;1.14388;0.633868;3.89542
15;200;1.21366;0.626407;3.61333
15;200;1.22363;0.632414;3.90728
15;200;1.16381;0.631113;3.62500
15;200;1.18873;0.628815;3.71523
15;200;1.22861;0.672911;3.53459
15;200;1.12395;0.646542;3.28846
15;200;1.1688;0.701663;3.36145
15;200;1.14388;0.618868;3.43333
15;200;1.16381;0.591114;3.45139
15;200;1.1688;0.681663;3.56790
15;200;1.15385;0.605;3.51701
15;200;1.2685;0.60675;3.91724
15;200;1.14388;0.553868;3.88321
15;200;1.17378;0.672208;3.52500
15;200;1.15883;0.660559;3.63924
15;200;1.15883;0.635559;3.37255
15;200;1.13392;0.647715;3.78205
15;200;1.11897;0.610948;3.42282
15;200;1.21366;0.611407;4.30612
15;200;1.15385;0.62;3.77333
15;200;1.20867;0.665897;4.06962
15;200;1.1389;0.623294;3.49007
15;200;1.18375;0.658284;3.21656
15;200;1.20369;0.645383;4.02597
15;200;1.21366;0.686407;3.34568
15;200;1.14388;0.658868;3.10127
15;200;1.12395;0.626542;3.36184
15;200;1.21864;0.586912;3.81690
15;200;1.15385;0.63;3.78947
15;200;1.15883;0.640559;3.82468
15;200;1.11399;0.545348;5.49265
15;200;1.28844;0.72358;4.00595
15;200;1.21864;0.681912;3.54658
15;200;1.1987;0.694865;3.66463
15;200;1.1688;0.696663;3.40606
15;200;1.13392;0.657715;3.33544
15;200;1.12395;0.626542;3.42105
15;200;1.1688;0.666663;3.34591
15;200;1.12395;0.641542;3.10968
15;200;1.21366;0.606407;3.95205
15;200;1.17877;0.717748;2.95858
15;200;1.19372;0.644342;3.52597
15;200;1.18375;0.603284;3.76027
15;200;1.1688;0.636663;3.58824
15;200;1.14388;0.618868;3.43333
15;200;1.11399;0.590348;3.66207
15;200;1.18375;0.668284;3.46541
15;200;1.13392;0.692715;3.46667
15;200;1.11399;0.575348;3.58451
15;200;1.15385;0.685;3.41104
15;200;1.16381;0.646113;3.60645
15;200;1.18375;0.673284;3.21875
15;200;1.13392;0.547715;3.46324
15;200;1.14886;0.609436;3.46622
15;200;1.21864;0.591912;3.67133
15;200;1.14886;0.584436;3.44056
15;200;1.26351;0.611283;3.94521
15;200;1.13392;0.622715;3.27815
15;200;1.16381;0.606113;3.12925
15;200;1.17378;0.732208;3.36047
15;200;1.14886;0.599436;3.35616
15;200;1.1688;0.626663;3.97351
15;200;1.08908;0.527269;3.25564
15;200;1.23858;0.598894;3.65278
15;200;1.20867;0.620897;4.02013
15;200;1.17378;0.627208;3.86093
15;200;1.1688;0.671663;3.78125
15;200;1.1688;0.591663;3.48611
15;200;1.17378;0.642208;3.52597
15;200;1.24357;0.584379;4.27660
15;200;1.1389;0.658294;3.37975
15;200;1.12395;0.641542;3.42581
15;200;1.20369;0.725383;3.28235
15;200;1.1389;0.663294;3.50943
15;200;1.1688;0.671663;3.80000
15;200;1.17378;0.652208;3.46154
15;200;1.15883;0.655559;3.35032
15;200;1.12395;0.641542;3.81290
15;200;1.17877;0.627748;4.07947
15;200;1.1389;0.563294;4.48921
15;200;1.18873;0.588815;4.16084
15;200;1.20867;0.570897;4.11511
15;200;1.12395;0.596542;2.97260
15;200;1.22861;0.727911;3.41176
15;200;1.17378;0.632208;3.01316
15;200;1.12893;0.627131;3.68421
15;200;1.21864;0.661912;3.75796
15;200;1.17378;0.607208;3.92517
15;200;1.16381;0.596114;3.95172
15;200;1.13392;0.642715;3.65806
15;200;1.1389;0.653294;3.24841
15;200;1.1688;0.636663;3.32026
15;200;1.18873;0.663815;3.56962
15;200;1.18873;0.633815;3.20395
15;200;1.21366;0.711407;3.68263
15;200;1.1389;0.628294;3.71053
15;200;1.12395;0.726542;3.16279
15;200;1.1688;0.646663;3.51613
15;200;1.20867;0.620897;3.88591
15;200;1.24357;0.694379;3.54601
15;200;1.21366;0.621407;3.59060
15;200;1.1389;0.608294;3.65541
15;200;1.14388;0.603868;3.95238
15;200;1.18375;0.638284;4.06536
15;200;1.1688;0.656663;3.74522
15;200;1.10402;0.629133;3.27451
